Gemarkungsschlüsselkatalog Freistaat Sachsen, Rechtstand: 01.07.2012;;;;;;;;
Gemeindeschluessel;Gemeinde;Gemarkungsschluessel;Gemarkung;uVB;GB; ;Kennung;PD-ZST
511000;Chemnitz;0109;Adelsberg;1;1; ;BG;1
511000;Chemnitz;0110;Altchemnitz;1;1; ;BG;1
511000;Chemnitz;0118;Altendorf;1;1; ;BG;1
511000;Chemnitz;2125;Altenhain;1;1; ;BG;1
511000;Chemnitz;2115;Berbisdorf;1;1; ;G;1
511000;Chemnitz;0111;Bernsdorf;1;1; ;BG;1
511000;Chemnitz;0101;Borna;1;1; ;BG;1
511000;Chemnitz;0128;Chemnitz;1;1; ;BG;1
511000;Chemnitz;0102;Draisdorf;1;1; ;BG;1
511000;Chemnitz;0103;Ebersdorf;1;1; ;BG;1
511000;Chemnitz;2114;Einsiedel;1;1; ;BG;1
511000;Chemnitz;0112;Erfenschlag;1;1; ;BG;1
511000;Chemnitz;2116;Euba;1;1; ;BG;1
511000;Chemnitz;0104;Furth;1;1; ;BG;1
511000;Chemnitz;0113;Gablenz;1;1; ;BG;1
511000;Chemnitz;0105;Glösa;1;1; ;BG;1
511000;Chemnitz;2118;Grüna;1;1; ;BG;1
511000;Chemnitz;0114;Harthau;1;1; ;BG;1
511000;Chemnitz;0106;Heinersdorf;1;1; ;BG;1
511000;Chemnitz;0115;Helbersdorf;1;1; ;BG;1
511000;Chemnitz;0107;Hilbersdorf;1;1; ;BG;1
511000;Chemnitz;0119;Kappel;1;1; ;BG;1
511000;Chemnitz;2123;Klaffenbach;1;1; ;BG;1
511000;Chemnitz;2124;Kleinolbersdorf;1;1; ;BG;1
511000;Chemnitz;0116;Markersdorf;1;1; ;BG;1
511000;Chemnitz;2131;Mittelbach;1;1; ;BG;1
511000;Chemnitz;0120;Neustadt;1;1; ;BG;1
511000;Chemnitz;0121;Niederrabenstein;1;1; ;BG;1
511000;Chemnitz;0122;Oberrabenstein;1;1; ;BG;1
511000;Chemnitz;0123;Reichenbrand;1;1; ;BG;1
511000;Chemnitz;0117;Reichenhain;1;1; ;BG;1
511000;Chemnitz;2142;Röhrsdorf;1;1; ;BG;1
511000;Chemnitz;0124;Rottluff;1;1; ;BG;1
511000;Chemnitz;0108;Schloßchemnitz;1;1; ;BG;1
511000;Chemnitz;0125;Schönau;1;1; ;BG;1
511000;Chemnitz;0126;Siegmar;1;1; ;BG;1
511000;Chemnitz;0127;Stelzendorf;1;1; ;BG;1
511000;Chemnitz;2144;Wittgensdorf;1;1; ;BG;1
521010;Amtsberg;2113;Dittersdorf;67;39; ;BG;65
521010;Amtsberg;8818;Schlößchen;67;39; ;BG;65
521010;Amtsberg;8824;Weißbach;67;39; ;BG;65
521020;Annaberg-Buchholz;1101;Annaberg;67;11; ;BG;67
521020;Annaberg-Buchholz;1102;Buchholz;67;11; ;BG;67
521020;Annaberg-Buchholz;1109;Cunersdorf;67;11; ;BG;67
521020;Annaberg-Buchholz;1112;Frohnau;67;11; ;BG;67
521020;Annaberg-Buchholz;1114;Geyersdorf;67;11; ;BG;67
521020;Annaberg-Buchholz;1103;Kleinrückerswalde;67;11; ;BG;67
521030;Aue;1205;Alberoda;67;12; ;BG;67
521030;Aue;1204;Aue;67;12; ;BG;67
521030;Aue;1206;Auerhammer;67;12; ;BG;67
521040;Auerbach;7601;Auerbach;67;51; ;BG;67
521050;Bad Schlema;1219;Niederschlema;67;12; ;BG;67
521050;Bad Schlema;1220;Oberschlema;67;12; ;BG;67
521050;Bad Schlema;1227;Wildbach;67;12; ;BG;67
521060;Bärenstein;1105;Bärenstein;67;11; ;BG;67
521060;Bärenstein;1106;Stahlberg;67;11; ;BG;67
521070;Bernsbach;1207;Bernsbach;67;12; ;BG;67
521080;Bockau;1209;Bockau;67;12; ;BG;67
521090;Börnichen/Erzgeb.;8801;Börnichen;67;39; ;BG;65
521100;Borstendorf;3503;Borstendorf;67;39; ;BG;65
521110;Breitenbrunn/Erzgeb.;7401;Antonsthal;67;12; ;BG;67
521110;Breitenbrunn/Erzgeb.;7404;Breitenbrunn;67;12; ;BG;67
521110;Breitenbrunn/Erzgeb.;7406;Erlabrunn;67;12; ;BG;67
521110;Breitenbrunn/Erzgeb.;7417;Rittersgrün;67;12; ;BG;67
521110;Breitenbrunn/Erzgeb.;7421;Tellerhäuser;67;12; ;BG;67
521120;Burkhardtsdorf;2109;Burkhardtsdorf;67;51; ;BG;67
521120;Burkhardtsdorf;2122;Eibenberg;67;51; ;G;67
521120;Burkhardtsdorf;2121;Kemtau;67;51; ;BG;67
521120;Burkhardtsdorf;7617;Meinersdorf;67;51; ;BG;67
521130;Crottendorf;1108;Crottendorf;67;11; ;BG;67
521130;Crottendorf;1136;Walthersdorf;67;11; ;BG;67
521140;Deutschneudorf;5806;Brüderwiese;67;39; ;G;65
521140;Deutschneudorf;5805;Deutscheinsiedel;67;39; ;BG;65
521140;Deutschneudorf;5807;Deutschneudorf;67;39; ;BG;65
521140;Deutschneudorf;5808;Oberlochmühle;67;39; ;G;65
521150;Drebach;8802;Drebach;67;39; ;BG;65
521150;Drebach;8808;Grießbach;67;39; ;BG;65
521150;Drebach;8817;Scharfenstein;67;39; ;BG;65
521150;Drebach;8822;Venusberg;67;39; ;BG;65
521160;Ehrenfriedersdorf;8803;Ehrenfriedersdorf;67;11; ;BG;67
521170;Eibenstock;1208;Blauenthal;67;12; ;BG;67
521170;Eibenstock;1211;Carlsfeld;67;12; ;BG;67
521170;Eibenstock;1212;Eibenstock;67;12; ;BG;67
521170;Eibenstock;1225;Sosa;67;12; ;BG;67
521170;Eibenstock;1228;Wildenthal;67;12; ;BG;67
521180;Elterlein;1111;Elterlein;67;11; ;BG;67
521180;Elterlein;1117;Hermannsdorf;67;11; ;BG;67
521180;Elterlein;1131;Schwarzbach;67;11; ;BG;67
521190;Erlbach-Kirchberg;7606;Erlbach;67;51; ;BG;67
521190;Erlbach-Kirchberg;7607;Kirchberg;67;51; ;BG;67
521190;Erlbach-Kirchberg;7628;Ursprung;67;51; ;BG;67
521200;Gelenau/Erzgeb.;8806;Gelenau;67;11; ;BG;67
521210;Geyer;1113;Geyer;67;11; ;BG;67
521220;Gornau/Erzgeb.;3507;Dittmannsdorf;67;39; ;BG;65
521220;Gornau/Erzgeb.;8807;Gornau;67;39; ;BG;65
521220;Gornau/Erzgeb.;8825;Witzschdorf;67;39; ;BG;65
521230;Gornsdorf;7608;Gornsdorf;67;51; ;BG;67
521240;Großolbersdorf;8809;Großolbersdorf;67;39; ;BG;65
521240;Großolbersdorf;8814;Grünau;67;39; ;G;65
521240;Großolbersdorf;8812;Hohndorf;67;39; ;BG;65
521240;Großolbersdorf;8813;Hopfgarten;67;39; ;BG;65
521250;Großrückerswalde;5814;Boden;67;39; ;G;65
521250;Großrückerswalde;5813;Großrückerswalde;67;39; ;BG;65
521250;Großrückerswalde;5825;Mauersberg;67;39; ;BG;65
521250;Großrückerswalde;5830;Niederschmiedeberg;67;39; ;BG;65
521250;Großrückerswalde;5815;Schindelbach;67;39; ;G;65
521250;Großrückerswalde;8820;Streckewalde;67;39; ;BG;65
521260;Grünhain-Beierfeld;7402;Beierfeld;67;12; ;BG;67
521260;Grünhain-Beierfeld;7407;Grünhain;67;12; ;BG;67
521260;Grünhain-Beierfeld;7422;Waschleithe;67;12; ;BG;67
521270;Grünhainichen;3521;Grünhainichen;67;39; ;BG;65
521270;Grünhainichen;8823;Waldkirchen;67;39; ;BG;65
521280;Heidersdorf;5818;Heidersdorf;67;39; ;BG;65
